date,contents,speaker,title,cleaned content
1994-02-04,"

[SECTION]

Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to increase slightly the degree of pressure on reserve positions. The action is expected to be associated with a small increase in short-term money market interest rates.

[SECTION]

The decision was taken to move toward a less accommodative stance in monetary policy in order to sustain and enhance the economic expansion.

[SECTION]

Chairman Greenspan decided to announce this action immediately so as to avoid any misunderstanding of the Committee's purposes, given the fact that this is the first firming of reserve market conditions by the Committee since early 1989.

[SECTION]

",Alan Greenspan,FOMC Statement,"['SECTION', 'Chairman', 'Alan', 'Greenspan', 'announced', 'today', 'Federal', 'Open', 'Market', 'Committee', 'decided', 'increase', 'slightly', 'degree', 'pressure', 'reserve', 'position', 'action', 'expected', 'associated', 'small', 'increase', 'short-term', 'money', 'market', 'interest', 'rate', 'SECTION', 'decision', 'taken', 'move', 'toward', 'le', 'accommodative', 'stance', 'monetary', 'policy', 'order', 'sustain', 'enhance', 'economic', 'expansion', 'SECTION', 'Chairman', 'Greenspan', 'decided', 'announce', 'action', 'immediately', 'avoid', 'misunderstanding', 'Committee', ""'s"", 'purpose', 'given', 'fact', 'first', 'firming', 'reserve', 'market', 'condition', 'Committee', 'since', 'early', '1989', 'SECTION']"
1994-03-22,"

[SECTION]

Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to increase slightly the degree of pressure on reserve positions. This action is expected to be associated with a small increase in short-term money market interest rates.

[SECTION]

",Alan Greenspan,FOMC Statement,"['SECTION', 'Chairman', 'Alan', 'Greenspan', 'announced', 'today', 'Federal', 'Open', 'Market', 'Committee', 'decided', 'increase', 'slightly', 'degree', 'pressure', 'reserve', 'position', 'action', 'expected', 'associated', 'small', 'increase', 'short-term', 'money', 'market', 'interest', 'rate', 'SECTION']"
1994-04-18,"

[SECTION]

Chairman Alan Greenspan announced today that the Federal Reserve will increase slightly the degree of pressure on reserve positions. This action is expected to be associated with a small increase in short-term money market interest rates.

[SECTION]

",Alan Greenspan,FOMC Statement,"['SECTION', 'Chairman', 'Alan', 'Greenspan', 'announced', 'today', 'Federal', 'Reserve', 'increase', 'slightly', 'degree', 'pressure', 'reserve', 'position', 'action', 'expected', 'associated', 'small', 'increase', 'short-term', 'money', 'market', 'interest', 'rate', 'SECTION']"
1994-05-17,"

[SECTION]

The Federal Reserve today announced two actions designed to maintain favorable trends in inflation and thereby sustain the economic expansion.

[SECTION]

The Board approved an increase in the discount rate from 3 percent to 3-1/2 percent, effective immediately, and the Federal Open Market Committee agreed that this increase should be allowed to show through completely into interest rates in reserve markets.

[SECTION]

These actions, combined with the three adjustments initiated earlier this year by the FOMC, substantially remove the degree of monetary accommodation which prevailed throughout 1993. As always, the Federal Reserve will continue to monitor economic and financial developments to judge the appropriate stance of monetary policy.

[SECTION]

In taking the discount action, the Board approved requests submitted by the Boards of Directors of eleven Federal Reserve Banks -- Boston, New York, Philadelphia, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City, Dallas and San Francisco. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Bank.

[SECTION]

",Alan Greenspan,FOMC Statement,"['SECTION', 'Federal', 'Reserve', 'today', 'announced', 'two', 'action', 'designed', 'maintain', 'favorable', 'trend', 'inflation', 'thereby', 'sustain', 'economic', 'expansion', 'SECTION', 'Board', 'approved', 'increase', 'discount', 'rate', '3', 'percent', '3-1/2', 'percent', 'effective', 'immediately', 'Federal', 'Open', 'Market', 'Committee', 'agreed', 'increase', 'allowed', 'show', 'completely', 'interest', 'rate', 'reserve', 'market', 'SECTION', 'action', 'combined', 'three', 'adjustment', 'initiated', 'earlier', 'year', 'FOMC', 'substantially', 'remove', 'degree', 'monetary', 'accommodation', 'prevailed', 'throughout', '1993', 'always', 'Federal', 'Reserve', 'continue', 'monitor', 'economic', 'financial', 'development', 'judge', 'appropriate', 'stance', 'monetary', 'policy', 'SECTION', 'taking', 'discount', 'action', 'Board', 'approved', 'request', 'submitted', 'Boards', 'Directors', 'eleven', 'Federal', 'Reserve', 'Banks', '--', 'Boston', 'New', 'York', 'Philadelphia', 'Richmond', 'Atlanta', 'Chicago', 'St.', 'Louis', 'Minneapolis', 'Kansas', 'City', 'Dallas', 'San', 'Francisco', 'discount', 'rate', 'interest', 'rate', 'charged', 'depository', 'institution', 'borrow', 'district', 'Federal', 'Reserve', 'Bank', 'SECTION']"
1994-08-16,"

[SECTION]

The Federal Reserve announced today the following monetary policy actions:

[SECTION]

These measures were taken against the background of evidence of continuing strength in the economic expansion and high levels of resource utilization. The actions are intended to keep inflationary pressures contained, and thereby foster sustainable economic growth.

[SECTION]

The Federal Reserve will continue to monitor economic and financial developments to gauge the appropriate stance of policy. But these actions are expected to be sufficient, at least for a time, to meet the objective of sustained, noninflationary growth.

[SECTION]

In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Richmond, Kansas City, and Dallas. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.

[SECTION]

",Alan Greenspan,FOMC Statement,"['SECTION', 'Federal', 'Reserve', 'announced', 'today', 'following', 'monetary', 'policy', 'action', 'SECTION', 'measure', 'taken', 'background', 'evidence', 'continuing', 'strength', 'economic', 'expansion', 'high', 'level', 'resource', 'utilization', 'action', 'intended', 'keep', 'inflationary', 'pressure', 'contained', 'thereby', 'foster', 'sustainable', 'economic', 'growth', 'SECTION', 'Federal', 'Reserve', 'continue', 'monitor', 'economic', 'financial', 'development', 'gauge', 'appropriate', 'stance', 'policy', 'action', 'expected', 'sufficient', 'least', 'time', 'meet', 'objective', 'sustained', 'noninflationary', 'growth', 'SECTION', 'taking', 'discount', 'rate', 'action', 'Board', 'approved', 'request', 'submitted', 'Boards', 'Directors', 'Federal', 'Reserve', 'Banks', 'Boston', 'New', 'York', 'Richmond', 'Kansas', 'City', 'Dallas', 'discount', 'rate', 'interest', 'rate', 'charged', 'depository', 'institution', 'borrow', 'district', 'Federal', 'Reserve', 'Banks', 'SECTION']"
1994-11-15,"

[SECTION]

The Federal Reserve Board today approved an increase in the discount rate from 4 percent to 4 3/4 percent, effective immediately.

[SECTION]

In a related move, the Federal Open Market Committee decided that the increase in the discount rate should be reflected fully in interest rates in reserve markets.

[SECTION]

These measures were taken against the background of evidence of persistent strength in economic activity and high and rising levels of resource utilization. In these circumstances, the Federal Reserve views these actions as necessary to keep inflation contained, and thereby foster sustainable economic growth.

[SECTION]

In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, St. Louis, and Kansas City. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve banks.

[SECTION]

",Alan Greenspan,FOMC Statement,"['SECTION', 'Federal', 'Reserve', 'Board', 'today', 'approved', 'increase', 'discount', 'rate', '4', 'percent', '4', '3/4', 'percent', 'effective', 'immediately', 'SECTION', 'related', 'move', 'Federal', 'Open', 'Market', 'Committee', 'decided', 'increase', 'discount', 'rate', 'reflected', 'fully', 'interest', 'rate', 'reserve', 'market', 'SECTION', 'measure', 'taken', 'background', 'evidence', 'persistent', 'strength', 'economic', 'activity', 'high', 'rising', 'level', 'resource', 'utilization', 'circumstance', 'Federal', 'Reserve', 'view', 'action', 'necessary', 'keep', 'inflation', 'contained', 'thereby', 'foster', 'sustainable', 'economic', 'growth', 'SECTION', 'taking', 'discount', 'rate', 'action', 'Board', 'approved', 'request', 'submitted', 'Boards', 'Directors', 'Federal', 'Reserve', 'Banks', 'New', 'York', 'St.', 'Louis', 'Kansas', 'City', 'discount', 'rate', 'interest', 'rate', 'charged', 'depository', 'institution', 'borrow', 'district', 'Federal', 'Reserve', 'bank', 'SECTION']"
1995-02-01,"

[SECTION]

For immediate release

[SECTION]

The Federal Reserve Board today approved an increase in the discount rate from 4 3/4 percent to 5 1/4 percent, effective immediately.

[SECTION]

In a related move, the Federal Open Market Committee agreed that this increase should be reflected fully in interest rates in the reserve markets.

[SECTION]

Despite tentative signs of some moderation in growth, economic activity has continued to advance at a substantial pace, while resource utilization has risen further. In these circumstances, the Federal Reserve views these actions as necessary to keep inflation contained, and thereby foster sustainable economic growth.

[SECTION]

In taking the discount action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Richmond, Chicago, St. Louis, Kansas City and San Francisco. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.

[SECTION]

",Alan Greenspan,FOMC Statement,"['SECTION', 'immediate', 'release', 'SECTION', 'Federal', 'Reserve', 'Board', 'today', 'approved', 'increase', 'discount', 'rate', '4', '3/4', 'percent', '5', '1/4', 'percent', 'effective', 'immediately', 'SECTION', 'related', 'move', 'Federal', 'Open', 'Market', 'Committee', 'agreed', 'increase', 'reflected', 'fully', 'interest', 'rate', 'reserve', 'market', 'SECTION', 'Despite', 'tentative', 'sign', 'moderation', 'growth', 'economic', 'activity', 'continued', 'advance', 'substantial', 'pace', 'resource', 'utilization', 'risen', 'circumstance', 'Federal', 'Reserve', 'view', 'action', 'necessary', 'keep', 'inflation', 'contained', 'thereby', 'foster', 'sustainable', 'economic', 'growth', 'SECTION', 'taking', 'discount', 'action', 'Board', 'approved', 'request', 'submitted', 'Boards', 'Directors', 'Federal', 'Reserve', 'Banks', 'Boston', 'New', 'York', 'Richmond', 'Chicago', 'St.', 'Louis', 'Kansas', 'City', 'San', 'Francisco', 'discount', 'rate', 'interest', 'rate', 'charged', 'depository', 'institution', 'borrow', 'district', 'Federal', 'Reserve', 'Banks', 'SECTION']"
1995-07-06,"

[SECTION]

For immediate release

[SECTION]

Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to decrease slightly the degree of pressure on bank reserve positions.

[SECTION]

As a result of the monetary tightening initiated in early 1994, inflationary pressures have receded enough to accommodate a modest adjustment in monetary conditions.

[SECTION]

Today's action will be reflected in a 25 basis point decline in the federal funds rate from about 6 percent to about 5-3/4 percent.

[SECTION]

",Alan Greenspan,FOMC Statement,"['SECTION', 'immediate', 'release', 'SECTION', 'Chairman', 'Alan', 'Greenspan', 'announced', 'today', 'Federal', 'Open', 'Market', 'Committee', 'decided', 'decrease', 'slightly', 'degree', 'pressure', 'bank', 'reserve', 'position', 'SECTION', 'result', 'monetary', 'tightening', 'initiated', 'early', '1994', 'inflationary', 'pressure', 'receded', 'enough', 'accommodate', 'modest', 'adjustment', 'monetary', 'condition', 'SECTION', 'Today', ""'s"", 'action', 'reflected', '25', 'basis', 'point', 'decline', 'federal', 'fund', 'rate', '6', 'percent', '5-3/4', 'percent', 'SECTION']"
1995-12-19,"

[SECTION]

For immediate release

[SECTION]

Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to decrease slightly the degree of pressure on reserve positions.

[SECTION]

Since the last easing of monetary policy in July, inflation has been somewhat more favorable than anticipated, and this result along with an associated moderation in inflation expectations warrants a modest easing in monetary conditions.

[SECTION]

This action is expected to be reflected in a decline in the federal funds rate of 25 basis points, from about 5 3/4 percent to about 5 1/2 percent.

[SECTION]

",Alan Greenspan,FOMC Statement,"['SECTION', 'immediate', 'release', 'SECTION', 'Chairman', 'Alan', 'Greenspan', 'announced', 'today', 'Federal', 'Open', 'Market', 'Committee', 'decided', 'decrease', 'slightly', 'degree', 'pressure', 'reserve', 'position', 'SECTION', 'Since', 'last', 'easing', 'monetary', 'policy', 'July', 'inflation', 'somewhat', 'favorable', 'anticipated', 'result', 'along', 'associated', 'moderation', 'inflation', 'expectation', 'warrant', 'modest', 'easing', 'monetary', 'condition', 'SECTION', 'action', 'expected', 'reflected', 'decline', 'federal', 'fund', 'rate', '25', 'basis', 'point', '5', '3/4', 'percent', '5', '1/2', 'percent', 'SECTION']"
1996-01-31,"For immediate release







The Federal Reserve today announced the following policy 
actions:


The Board of Governors approved a reduction in the discount rate from 
5-1/4 percent to 5 percent, effective immediately.

In a related move, the Federal Open Market Committee agreed that the 
reduction would be reflected fully in interest rates in
the reserve markets. This is expected to result in a reduction in the 
federal funds rate of 25 basis points, from about 5-1/2
percent to about 5-1/4 percent.



Moderating economic expansion in recent months has reduced potential
inflationary pressures going forward. With price and cost trends
already subdued, a slight easing of monetary policy is consistent with
contained inflation and sustainable growth.



In taking the discount action, the Board approved requests submitted
by the Boards of Directors of the Federal Reserve Banks of New York,
Philadelphia, Cleveland, Atlanta, Minneapolis, and Dallas.


 





1996 Monetary policy



Last update: March 16, 2001

[SECTION]

For immediate release







The Federal Reserve today announced the following policy 
actions:


The Board of Governors approved a reduction in the discount rate from 
5-1/4 percent to 5 percent, effective immediately.

In a related move, the Federal Open Market Committee agreed that the 
reduction would be reflected fully in interest rates in
the reserve markets. This is expected to result in a reduction in the 
federal funds rate of 25 basis points, from about 5-1/2
percent to about 5-1/4 percent.



Moderating economic expansion in recent months has reduced potential
inflationary pressures going forward. With price and cost trends
already subdued, a slight easing of monetary policy is consistent with
contained inflation and sustainable growth.



In taking the discount action, the Board approved requests submitted
by the Boards of Directors of the Federal Reserve Banks of New York,
Philadelphia, Cleveland, Atlanta, Minneapolis, and Dallas.


 





1996 Monetary policy



Last update: March 16, 2001

[SECTION]

The Federal Reserve today announced the following policy 
actions:


The Board of Governors approved a reduction in the discount rate from 
5-1/4 percent to 5 percent, effective immediately.

In a related move, the Federal Open Market Committee agreed that the 
reduction would be reflected fully in interest rates in
the reserve markets. This is expected to result in a reduction in the 
federal funds rate of 25 basis points, from about 5-1/2
percent to about 5-1/4 percent.



Moderating economic expansion in recent months has reduced potential
inflationary pressures going forward. With price and cost trends
already subdued, a slight easing of monetary policy is consistent with
contained inflation and sustainable growth.



In taking the discount action, the Board approved requests submitted
by the Boards of Directors of the Federal Reserve Banks of New York,
Philadelphia, Cleveland, Atlanta, Minneapolis, and Dallas.


 





1996 Monetary policy



Last update: March 16, 2001

[SECTION]

In taking the discount action, the Board approved requests submitted
by the Boards of Directors of the Federal Reserve Banks of New York,
Philadelphia, Cleveland, Atlanta, Minneapolis, and Dallas.

[SECTION]

1996 Monetary policy



Last update: March 16, 2001",Alan Greenspan,FOMC Statement,"['immediate', 'release', 'Federal', 'Reserve', 'today', 'announced', 'following', 'policy', 'action', 'Board', 'Governors', 'approved', 'reduction', 'discount', 'rate', '5-1/4', 'percent', '5', 'percent', 'effective', 'immediately', 'related', 'move', 'Federal', 'Open', 'Market', 'Committee', 'agreed', 'reduction', 'would', 'reflected', 'fully', 'interest', 'rate', 'reserve', 'market', 'expected', 'result', 'reduction', 'federal', 'fund', 'rate', '25', 'basis', 'point', '5-1/2', 'percent', '5-1/4', 'percent', 'Moderating', 'economic', 'expansion', 'recent', 'month', 'reduced', 'potential', 'inflationary', 'pressure', 'going', 'forward', 'price', 'cost', 'trend', 'already', 'subdued', 'slight', 'easing', 'monetary', 'policy', 'consistent', 'contained', 'inflation', 'sustainable', 'growth', 'taking', 'discount', 'action', 'Board', 'approved', 'request', 'submitted', 'Boards', 'Directors', 'Federal', 'Reserve', 'Banks', 'New', 'York', 'Philadelphia', 'Cleveland', 'Atlanta', 'Minneapolis', 'Dallas', '1996', 'Monetary', 'policy', 'Last', 'update', 'March', '16', '2001', 'SECTION', 'immediate', 'release', 'Federal', 'Reserve', 'today', 'announced', 'following', 'policy', 'action', 'Board', 'Governors', 'approved', 'reduction', 'discount', 'rate', '5-1/4', 'percent', '5', 'percent', 'effective', 'immediately', 'related', 'move', 'Federal', 'Open', 'Market', 'Committee', 'agreed', 'reduction', 'would', 'reflected', 'fully', 'interest', 'rate', 'reserve', 'market', 'expected', 'result', 'reduction', 'federal', 'fund', 'rate', '25', 'basis', 'point', '5-1/2', 'percent', '5-1/4', 'percent', 'Moderating', 'economic', 'expansion', 'recent', 'month', 'reduced', 'potential', 'inflationary', 'pressure', 'going', 'forward', 'price', 'cost', 'trend', 'already', 'subdued', 'slight', 'easing', 'monetary', 'policy', 'consistent', 'contained', 'inflation', 'sustainable', 'growth', 'taking', 'discount', 'action', 'Board', 'approved', 'request', 'submitted', 'Boards', 'Directors', 'Federal', 'Reserve', 'Banks', 'New', 'York', 'Philadelphia', 'Cleveland', 'Atlanta', 'Minneapolis', 'Dallas', '1996', 'Monetary', 'policy', 'Last', 'update', 'March', '16', '2001', 'SECTION', 'Federal', 'Reserve', 'today', 'announced', 'following', 'policy', 'action', 'Board', 'Governors', 'approved', 'reduction', 'discount', 'rate', '5-1/4', 'percent', '5', 'percent', 'effective', 'immediately', 'related', 'move', 'Federal', 'Open', 'Market', 'Committee', 'agreed', 'reduction', 'would', 'reflected', 'fully', 'interest', 'rate', 'reserve', 'market', 'expected', 'result', 'reduction', 'federal', 'fund', 'rate', '25', 'basis', 'point', '5-1/2', 'percent', '5-1/4', 'percent', 'Moderating', 'economic', 'expansion', 'recent', 'month', 'reduced', 'potential', 'inflationary', 'pressure', 'going', 'forward', 'price', 'cost', 'trend', 'already', 'subdued', 'slight', 'easing', 'monetary', 'policy', 'consistent', 'contained', 'inflation', 'sustainable', 'growth', 'taking', 'discount', 'action', 'Board', 'approved', 'request', 'submitted', 'Boards', 'Directors', 'Federal', 'Reserve', 'Banks', 'New', 'York', 'Philadelphia', 'Cleveland', 'Atlanta', 'Minneapolis', 'Dallas', '1996', 'Monetary', 'policy', 'Last', 'update', 'March', '16', '2001', 'SECTION', 'taking', 'discount', 'action', 'Board', 'approved', 'request', 'submitted', 'Boards', 'Directors', 'Federal', 'Reserve', 'Banks', 'New', 'York', 'Philadelphia', 'Cleveland', 'Atlanta', 'Minneapolis', 'Dallas', 'SECTION', '1996', 'Monetary', 'policy', 'Last', 'update', 'March', '16', '2001']"
